wikidata,studentCount,studentYear,establishedYear,officialWebsite
Q30265689,,,1981,https://www.universitastabanan.ac.id
Q1622169,,,1950,
Q1563835,93,,1947,
Q521036,2061,,2003,https://www.insa-strasbourg.fr/
Q83839243,,,2020,
Q6959000,,,1915,https://www.nagoya-aoi.ac.jp/
Q2648311,,,1929,
Q7895970,19748,,1873,https://ung.edu/
Q4243511,,,1969,https://kgufkst.ru/
Q3551604,,,1999,https://univ-kara.tg/
Q30265563,,,1997,
Q11656271,,,,
Q82826,,,1975,https://www.univh2c.ma/
Q56841038,,,,
Q6350383,1451,,1833,https://www.kzoo.edu/
Q7569418,,,1935,
Q3551579,,,1980,
Q684415,,,1759,
Q1505130,4500,,2009,
Q3152596,,,1987,https://ismans.cesi.fr
Q17027576,3790,,2011,
Q3291620,,,2004,https://www.auamed.org/
Q5305629,4774,,1881,https://www.drake.edu/
Q23015035,525,,1977,
Q52413,26744,,1864,https://www.ku.edu
Q33121390,,,1988,
Q3152572,,,1990,
Q1916267,,,2012,
Q7896771,,,1968,
Q141195465,,,,
Q4465237,,,1938,
Q22032279,,,2002,
Q5369878,,,1933,https://www.hokusho-u.ac.jp/
Q3633984,,,1967,
Q13861583,,,2008,https://www.palamuruuniversity.ac.in
Q6364465,,,1928,
Q1278780,18092,,1994,
Q6020647,,,2011,
Q6704331,8747,,1969,
Q5957059,,,1972,
Q5207276,,,1975,
Q1278215,,,2001,
Q1622093,3221,,1975,https://www.hs-bremerhaven.de
Q6712134,,,1962,
Q5290853,,,1900,
Q109912032,,,2004,https://www.stplpalu.ac.id
Q10829079,,,1982,https://www.unklab.ac.id
Q11374860,,,1939,https://www.koka.ac.jp/english/junior.html
Q3577916,,,1974,https://www.etsmtl.ca/
Q13059056,,,1849,
Q109913146,,,2005,https://www.stikes-khkediri.ac.id
Q4857615,,,1912,
Q3518863,,,1994,
Q5839196,,,1977,https://phsu.edu
Q137409144,,,2005,https://scmst.ac.bd
Q30257586,,,,
Q114428920,,,2021,
Q7894372,,,1913,
Q1089417,,,1887,
Q129342987,,,2022,
Q129343311,,,2022,
Q18154941,,,,
Q193510,75000,,1222,https://www.unipd.it
Q61932022,,,2011,
Q109912155,,,2019,
Q16440720,,,1978,
Q30265193,,,1978,
Q3668446,414,,2006,https://www.ukh.edu.krd/
Q6816680,3338,,1973,
Q4271095,,,1784,https://new.meduniv.lviv.ua/
Q109919365,,,1994,
Q104480754,,,,
Q19888178,,,2013,https://ur.ac.rw/
Q11507255,,,2010,
Q5002600,2984,,1965,
Q5158998,4071,,1976,
Q12523328,41406,,1981,https://www.gunadarma.ac.id
Q697299,9974,,1989,https://www.ccu.edu.tw/
Q11378094,,,1971,
Q14681686,,,1976,
Q6156541,,,1997,https://www.unimodelo.edu.mx/
Q6398209,,,1965,
Q6364494,,,1965,
